uf;estado;capital;municipio
ac;acre;rio-branco;acrelandia
ac;acre;rio-branco;assis-brasil
ac;acre;rio-branco;brasileia
ac;acre;rio-branco;bujari
ac;acre;rio-branco;capixaba
ac;acre;rio-branco;cruzeiro-do-sul
ac;acre;rio-branco;epitaciolandia
ac;acre;rio-branco;feijo
ac;acre;rio-branco;jordao
ac;acre;rio-branco;mancio-lima
ac;acre;rio-branco;manoel-urbano
ac;acre;rio-branco;marechal-thaumaturgo
ac;acre;rio-branco;placido-de-castro
ac;acre;rio-branco;porto-acre
ac;acre;rio-branco;porto-walter
ac;acre;rio-branco;rio-branco
ac;acre;rio-branco;rodrigues-alves
ac;acre;rio-branco;santa-rosa-do-purus
ac;acre;rio-branco;sena-madureira
ac;acre;rio-branco;senador-guiomard
ac;acre;rio-branco;tarauaca
ac;acre;rio-branco;xapuri
al;alagoas;maceio;agua-branca
al;alagoas;maceio;anadia
al;alagoas;maceio;arapiraca
al;alagoas;maceio;atalaia
al;alagoas;maceio;barra-de-santo-antonio
al;alagoas;maceio;barra-de-sao-miguel
al;alagoas;maceio;batalha
al;alagoas;maceio;belem
al;alagoas;maceio;belo-monte
al;alagoas;maceio;boca-da-mata
al;alagoas;maceio;branquinha
al;alagoas;maceio;cacimbinhas
al;alagoas;maceio;cajueiro
al;alagoas;maceio;campestre
al;alagoas;maceio;campo-alegre
al;alagoas;maceio;campo-grande
al;alagoas;maceio;canapi
al;alagoas;maceio;capela
al;alagoas;maceio;carneiros-
al;alagoas;maceio;cha-preta-
al;alagoas;maceio;coite-do-noia
al;alagoas;maceio;colonia-leopoldina
al;alagoas;maceio;coqueiro-seco
al;alagoas;maceio;coruripe
al;alagoas;maceio;craibas
al;alagoas;maceio;delmiro-gouveia
al;alagoas;maceio;demais-municipios
al;alagoas;maceio;dois-riachos
al;alagoas;maceio;estrela-de-alagoas
al;alagoas;maceio;feira-grande
al;alagoas;maceio;feliz-deserto
al;alagoas;maceio;flexeiras
al;alagoas;maceio;girau-do-ponciano
al;alagoas;maceio;ibateguara
al;alagoas;maceio;igaci
al;alagoas;maceio;igreja-nova
al;alagoas;maceio;inhapi
al;alagoas;maceio;jacare-dos-homens
al;alagoas;maceio;jacuipe
al;alagoas;maceio;japaratinga
al;alagoas;maceio;jaramataia
al;alagoas;maceio;jequia-da-praia
al;alagoas;maceio;joaquim-gomes
al;alagoas;maceio;jundia
al;alagoas;maceio;junqueiro-
al;alagoas;maceio;lagoa-da-canoa
al;alagoas;maceio;limoeiro-de-anadia
al;alagoas;maceio;maceio
al;alagoas;maceio;major-isidoro
al;alagoas;maceio;mar-vermelho
al;alagoas;maceio;maragogi
al;alagoas;maceio;maravilha
al;alagoas;maceio;marechal-deodoro
al;alagoas;maceio;maribondo
al;alagoas;maceio;mata-grande
al;alagoas;maceio;matriz-de-camaragibe
al;alagoas;maceio;messias
al;alagoas;maceio;minador-do-negrao
al;alagoas;maceio;monteiropolis
al;alagoas;maceio;murici
al;alagoas;maceio;novo-lino
al;alagoas;maceio;olho-d'agua-das-flores
al;alagoas;maceio;olho-d'agua-do-casado
al;alagoas;maceio;olho-d'agua-grande
al;alagoas;maceio;olivenca
al;alagoas;maceio;ouro-branco
al;alagoas;maceio;palestina-
al;alagoas;maceio;palmeira-dos-indios
al;alagoas;maceio;pao-de-acucar
al;alagoas;maceio;pariconha-
al;alagoas;maceio;paripueira
al;alagoas;maceio;passo-de-camaragibe
al;alagoas;maceio;paulo-jacinto
al;alagoas;maceio;penedo
al;alagoas;maceio;piacabucu
al;alagoas;maceio;pilar
al;alagoas;maceio;pindoba
al;alagoas;maceio;piranhas
al;alagoas;maceio;poco-das-trincheiras
al;alagoas;maceio;porto-calvo
al;alagoas;maceio;porto-de-pedras
al;alagoas;maceio;porto-real-do-colegio
al;alagoas;maceio;quebrangulo
al;alagoas;maceio;rio-largo-
al;alagoas;maceio;roteiro
al;alagoas;maceio;santa-luzia-do-norte
al;alagoas;maceio;santana-do-ipanema
al;alagoas;maceio;santana-do-mundau
al;alagoas;maceio;sao-bras
al;alagoas;maceio;sao-jose-da-laje
al;alagoas;maceio;sao-jose-da-tapera
al;alagoas;maceio;sao-luis-do-quitunde
al;alagoas;maceio;sao-miguel-dos-campos
al;alagoas;maceio;sao-miguel-dos-milagres
al;alagoas;maceio;sao-sebastiao
al;alagoas;maceio;satuba
al;alagoas;maceio;senador-rui-palmeira
al;alagoas;maceio;tanque-d'arca
al;alagoas;maceio;taquarana-
al;alagoas;maceio;teotonio-vilela
al;alagoas;maceio;traipu
al;alagoas;maceio;uniao-dos-palmares
al;alagoas;maceio;vicosa
am;amazonas;manaus;alvaraes
am;amazonas;manaus;amatura
am;amazonas;manaus;anama
am;amazonas;manaus;anori
am;amazonas;manaus;apui
am;amazonas;manaus;atalaia-do-norte
am;amazonas;manaus;autazes
am;amazonas;manaus;barcelos
am;amazonas;manaus;barreirinha
am;amazonas;manaus;benjamin-constant
am;amazonas;manaus;beruri
am;amazonas;manaus;boa-vista-do-ramos
am;amazonas;manaus;boca-do-acre
am;amazonas;manaus;borba
am;amazonas;manaus;caapiranga
am;amazonas;manaus;canutama
am;amazonas;manaus;carauari
am;amazonas;manaus;careiro
am;amazonas;manaus;careiro-da-varzea
am;amazonas;manaus;coari
am;amazonas;manaus;codajas
am;amazonas;manaus;eirunepe
am;amazonas;manaus;envira
am;amazonas;manaus;fonte-boa
am;amazonas;manaus;guajara
am;amazonas;manaus;humaita
am;amazonas;manaus;ipixuna
am;amazonas;manaus;iranduba
am;amazonas;manaus;itacoatiara
am;amazonas;manaus;itamarati
am;amazonas;manaus;itapiranga
am;amazonas;manaus;japura
am;amazonas;manaus;jurua
am;amazonas;manaus;jutai
am;amazonas;manaus;labrea
am;amazonas;manaus;manacapuru
am;amazonas;manaus;manaquiri
am;amazonas;manaus;manaus
am;amazonas;manaus;manicore
am;amazonas;manaus;maraa
am;amazonas;manaus;maues
am;amazonas;manaus;nhamunda
am;amazonas;manaus;nova-olinda-do-norte
am;amazonas;manaus;novo-airao
am;amazonas;manaus;novo-aripuana
am;amazonas;manaus;parintins
am;amazonas;manaus;pauini
am;amazonas;manaus;presidente-figueiredo
am;amazonas;manaus;rio-preto-da-eva
am;amazonas;manaus;santa-isabel-do-rio-negro
am;amazonas;manaus;santo-antonio-do-ica
am;amazonas;manaus;sao-gabriel-da-cachoeira
am;amazonas;manaus;sao-paulo-de-olivenca
am;amazonas;manaus;sao-sebastiao-do-uatuma
am;amazonas;manaus;silves
am;amazonas;manaus;tabatinga
am;amazonas;manaus;tapaua
am;amazonas;manaus;tefe
am;amazonas;manaus;tonantins
am;amazonas;manaus;uarini
am;amazonas;manaus;urucara
am;amazonas;manaus;urucurituba
ap;amapa;macapa;amapa
ap;amapa;macapa;calcoene
ap;amapa;macapa;cutias
ap;amapa;macapa;ferreira-gomes
ap;amapa;macapa;itaubal
ap;amapa;macapa;laranjal-do-jari
ap;amapa;macapa;macapa
ap;amapa;macapa;mazagao
ap;amapa;macapa;oiapoque
ap;amapa;macapa;pedra-branca-do-amapari
ap;amapa;macapa;porto-grande
ap;amapa;macapa;pracuuba
ap;amapa;macapa;santana
ap;amapa;macapa;serra-do-navio
ap;amapa;macapa;tartarugalzinho
ap;amapa;macapa;vitoria-do-jari
ba;bahia;salvador;abaira
ba;bahia;salvador;abare
ba;bahia;salvador;acajutiba
ba;bahia;salvador;adustina
ba;bahia;salvador;agua-fria
ba;bahia;salvador;aiquara
ba;bahia;salvador;alagoinhas
ba;bahia;salvador;alcobaca
ba;bahia;salvador;almadina
ba;bahia;salvador;amargosa
ba;bahia;salvador;amelia-rodrigues
ba;bahia;salvador;america-dourada
ba;bahia;salvador;anage
ba;bahia;salvador;andarai
ba;bahia;salvador;andorinha
ba;bahia;salvador;angical
ba;bahia;salvador;anguera
ba;bahia;salvador;antas
ba;bahia;salvador;antonio-cardoso
ba;bahia;salvador;antonio-goncalves
ba;bahia;salvador;apora
ba;bahia;salvador;apuarema
ba;bahia;salvador;aracas
ba;bahia;salvador;aracatu
ba;bahia;salvador;araci
ba;bahia;salvador;aramari
ba;bahia;salvador;arataca
ba;bahia;salvador;aratuipe
ba;bahia;salvador;aurelino-leal
ba;bahia;salvador;baianopolis
ba;bahia;salvador;baixa-grande
ba;bahia;salvador;banzae
ba;bahia;salvador;barra
ba;bahia;salvador;barra-da-estiva
ba;bahia;salvador;barra-do-choca
ba;bahia;salvador;barra-do-mendes
ba;bahia;salvador;barra-do-rocha
ba;bahia;salvador;barreiras
ba;bahia;salvador;barro-alto
ba;bahia;salvador;barro-preto
ba;bahia;salvador;barrocas
ba;bahia;salvador;belmonte
ba;bahia;salvador;belo-campo
ba;bahia;salvador;biritinga-
ba;bahia;salvador;boa-nova
ba;bahia;salvador;boa-vista-do-tupim
ba;bahia;salvador;bom-jesus-da-lapa
ba;bahia;salvador;bom-jesus-da-serra
ba;bahia;salvador;boninal
ba;bahia;salvador;bonito
ba;bahia;salvador;boquira
ba;bahia;salvador;botupora
ba;bahia;salvador;brejoes
ba;bahia;salvador;brejolandia
ba;bahia;salvador;brotas-de-macaubas
ba;bahia;salvador;brumado
ba;bahia;salvador;buerarema
ba;bahia;salvador;buritirama
ba;bahia;salvador;caatiba
ba;bahia;salvador;cabaceiras-do-paraguacu
ba;bahia;salvador;cachoeira
ba;bahia;salvador;cacule
ba;bahia;salvador;caem
ba;bahia;salvador;caetanos
ba;bahia;salvador;caetite
ba;bahia;salvador;cafarnaum
ba;bahia;salvador;cairu
ba;bahia;salvador;caldeirao-grande
ba;bahia;salvador;camacan
ba;bahia;salvador;camacari
ba;bahia;salvador;camamu
ba;bahia;salvador;campo-alegre-de-lourdes
ba;bahia;salvador;campo-formoso
